frame,x,y,xn,yn
160,610.3,277.35,275.3375815946056,161.67656647305975
164,628.5,273.0,296.0166936384347,153.77719428249438
170,626.3333333333334,326.3333333333333,292.1813657280418,240.64185441520624
171,628.3888888888889,336.27777777777777,294.22770208221567,256.5799492773354
172,629.2941176470588,346.70588235294116,294.96885280274176,273.29039024910264
176,625.4375,372.6875,289.99925849717147,314.92240702008013
177,626.0666666666667,384.4666666666667,290.40195523286496,333.5949934903857
178,626.9,392.3,291.1295843527959,345.9597002519966
179,627.5,399.5,291.61276219909587,357.30476677244576
188,633.0769230769231,442.84615384615387,296.6638501753973,425.01204194383484
189,635.5384615384615,454.9230769230769,299.0576783177497,443.68767138464557
190,637.6153846153846,466.3076923076923,301.03901813980445,461.2395480474122
194,647.1428571428571,499.85714285714283,310.56182012445,512.5081901617201
204,634.0909090909091,558.6363636363636,294.8061989269438,602.021623374573
205,638.5,571.5,299.24556603075507,621.1782086690636
207,634.2857142857143,561.0,294.9573548983544,605.5652281132782
208,639.2,569.5,300.0538955670078,618.1635572557095
209,642.5,581.0,303.3162646304353,635.2588349884904
213,629.5,600.0,288.8312567796883,663.901510694425
214,626.125,611.5625,284.92940029004626,681.1173133003562
215,623.9285714285714,621.8571428571429,282.33363826398806,696.3706223440316
216,622.0,632.0,280.0361072960691,711.3452327001071
216,664.5,631.0,325.5781542578997,708.7242661263579
217,620.6666666666666,640.1666666666666,278.42597263083303,723.3624002946027
222,640.2307692307693,680.6153846153846,298.3087481988816,781.7816341009459
223,635.7083333333334,691.0416666666666,293.2460663048102,796.9725280004809
224,626.4166666666666,664.75,283.99724448928555,759.1036305405187
224,633.5652173913044,698.0869565217391,290.8020558148413,807.1865179314282
225,624.6153846153846,669.0769230769231,281.9800743566387,765.4404628100026
225,632.6842105263158,702.2631578947369,289.7681774505778,813.2209792662608
226,623.6666666666666,672.9166666666666,280.8833497467854,771.0400562389996
226,632.0,706.0,288.95443449933737,818.6114724609372
227,623.0,676.5384615384615,280.09252097608675,776.3098428012148
228,622.6153846153846,681.3846153846154,279.5745760743511,783.3393099863268
229,621.5625,687.75,278.3144129420932,792.5704402931518
230,621.0833333333334,697.4166666666666,277.59150700238945,806.5275161595816
231,619.4545454545455,709.2727272727273,275.6068484539998,823.6157974970637
233,647.6363636363636,716.9090909090909,305.225959333783,833.8922388645394
234,644.9411764705883,722.3529411764706,302.2355075061791,841.7519754414152
235,641.5,727.6818181818181,298.46567319472683,849.4513617136796
236,638.3478260869565,732.4782608695652,295.02026006526023,856.3713777111767
237,594.9285714285714,726.9285714285714,249.3706812907913,849.4690483027922
