frame,x,y,r,xn,yn
266,601.5,917.5,25.7,252.78877633107385,1113.8776943966636
267,601.5,923.5,25.7,252.68151304623078,1121.9724940654385
268,603.5,925.5,27.4,254.69330412445836,1124.6343891626086
269,605.5,928.5,23.2,256.68569494355216,1128.641361366087
270,606.5,934.5,25.8,257.59783308040136,1136.6951053579432
271,605.5,937.5,27.4,256.5200889160114,1140.741304092085
272,596.5,960.5,27.4,246.93176764814604,1171.6618287244205
273,611.5,955.5,24.0,262.30792912558775,1164.7538749193948
274,605.5,964.5,23.9,256.0258205085389,1176.854841204823
275,607.5,964.5,22.7,258.0622737628192,1176.8240688442525
276,606.5,972.5,25.2,256.89714129981667,1187.486688992953
277,606.5,974.5,26.3,256.8604727802402,1190.1447081540848
278,606.5,977.5,27.4,256.8055091340556,1194.128900218876
279,604.5,984.5,25.2,254.64688586231733,1203.4416373105962
280,604.5,988.5,25.2,254.5749766830816,1208.737799932899
281,604.5,996.5,20.5,254.43140322769463,1219.3120878896902
282,606.5,1000.5,22.3,256.3856750938054,1224.5617329693866
283,607.5,1005.5,24.0,257.3070845970432,1231.137216123588
284,609.5,1016.5,21.8,259.1275685139627,1245.5742970733802
285,614.5,1027.5,27.4,263.97083534397643,1259.927516852946
286,607.5,1037.5,21.7,256.72373955686413,1273.0913469794637
287,605.5,1044.5,23.5,254.58340833072316,1282.2441497827185
288,603.5,1054.5,22.4,252.39498334273972,1295.2761131695308
289,601.5,1056.5,25.1,250.35034370745942,1297.8980106012143
290,604.5,1062.5,22.7,253.2592450360179,1305.6423793512356
291,607.5,1065.5,22.3,256.2176167271705,1309.4916623393074
292,603.5,1079.5,22.9,251.95919257048172,1327.631948471515
293,612.5,1084.5,27.4,260.8824717837804,1333.970710493456
294,609.5,1075.5,27.4,258.0426405334113,1322.3985300773638
295,600.5,1091.5,21.0,248.75147875820684,1343.1167228725158
296,598.5,1096.5,21.7,246.66895800758616,1349.5612636238566
297,598.5,1098.5,21.6,246.63579290720966,1352.127384422823
298,600.5,1106.5,25.1,248.4986433691477,1362.355463004518
299,600.5,1109.5,25.1,248.44820340503932,1366.1935387001688
300,600.5,1112.5,25.2,248.3978056879542,1370.0283997370375
301,604.5,1119.5,25.2,252.26429284601488,1378.9213217014978
302,604.5,1126.5,21.8,252.1431953305196,1387.840240566044
303,600.5,1130.5,27.4,248.0963036080566,1392.9702837272262
304,608.5,1137.5,23.8,255.92798148922478,1401.780067626303
305,608.5,1143.5,25.2,255.8213640081185,1409.3883852933257
306,608.5,1150.5,25.2,255.69720152435787,1418.2487298538647
307,605.5,1161.5,27.4,252.53150513735437,1432.165692420669
308,604.5,1175.5,24.1,251.3020821298661,1449.7888310209696
309,604.5,1181.5,25.2,251.1998719562403,1457.3166836112698
310,607.5,1187.5,24.0,254.05807200980195,1464.8059539184344
311,602.5,1185.5,25.2,249.15799812360146,1462.3458284621297
312,612.5,1192.5,21.6,258.90228769168505,1471.0168686691027
313,608.5,1195.5,26.3,254.9047427509236,1474.7992882027522
314,573.5,1197.5,25.2,220.4036588225548,1477.590833487432
315,612.5,1198.5,23.9,258.7940078285129,1478.5107877015596
316,614.5,1221.5,22.4,260.3454647557,1507.1073915598456
317,612.5,1231.5,21.7,258.20165866174875,1519.5065607348029
318,608.5,1235.5,23.0,254.20855347944348,1524.4799698211639
319,610.5,1239.5,25.2,256.09902676576803,1529.4035380338944
320,611.5,1240.5,25.2,257.061233552082,1530.6300372827725
321,608.5,1244.5,26.2,254.05296314753545,1535.5830333975211
322,609.5,1247.5,25.2,254.97992285207883,1539.2709317426797
323,610.5,1250.5,27.4,255.90616031931248,1542.955956675147
324,608.5,1257.5,25.2,253.82889818123877,1551.5725073932358
325,613.5,1269.5,21.6,258.50213119706086,1566.249408093769
326,614.5,1272.5,25.2,259.4242962660068,1569.913194807269
327,615.5,1280.5,25.2,260.2555310339124,1579.6796346446495
328,617.5,1292.5,22.9,261.9855845864398,1594.2872488725495
329,620.5,1308.5,23.6,264.60746089036223,1613.6900645344049
330,608.5,1313.5,27.4,252.87273993764924,1619.804804589652
331,609.5,1318.5,27.4,253.7573564293886,1625.8414040719663
332,611.5,1325.5,24.6,255.57493652485232,1634.2763504405116
333,614.5,1330.5,22.4,258.39216689537534,1640.2843754360933
334,617.5,1329.5,23.0,261.3141814283632,1639.065908224382
335,613.5,1334.5,27.4,257.35420372741714,1645.1015241306454
336,615.5,1384.5,23.9,258.40659227886323,1704.8117704742835
337,617.5,1355.5,24.0,260.84639913507704,1670.264248163518
338,614.5,1338.5,23.9,258.2510761118879,1649.9040270925284
339,612.5,1367.5,25.0,255.81608818833888,1684.609022542849
340,613.5,1371.5,27.0,256.7097499669937,1689.369602072081
341,612.5,1378.5,23.9,255.62695627624734,1697.6986145883664
342,614.5,1378.5,27.4,257.5501812365292,1697.6914472349292
343,612.5,1383.5,26.3,255.54117228647522,1703.6356212930332
344,609.5,1389.5,27.4,252.55812653432312,1710.759406497368
345,612.5,1396.5,22.9,255.31867310870996,1719.0345216436099
346,618.5,1397.5,23.8,261.05698481516515,1720.1982092275023
347,617.5,1411.5,23.0,259.84994289522365,1736.7220447744658
348,615.5,1416.5,27.4,257.8480522181806,1742.6125416186865
349,620.5,1427.5,22.9,262.43451936642117,1755.5200563324302
350,616.5,1436.5,26.1,258.4556301851599,1766.071767114852
351,614.5,1447.5,27.4,256.35871747053784,1778.9261395855342
352,613.5,1459.5,25.2,255.2025119128536,1792.9030683259587
353,614.5,1466.5,23.6,256.0344748831517,1801.0331877267415
354,616.5,1469.5,25.2,257.8834691120457,1804.5109153036633
355,617.5,1474.5,23.9,258.74666217232385,1810.30440891125
356,620.5,1475.5,22.7,261.57749421144405,1811.4589158746028
357,616.5,1484.5,26.8,257.6250530566637,1821.871923442741
358,620.5,1489.5,27.4,261.3295846560628,1827.640211974372
359,617.5,1511.5,22.1,258.10727462010243,1852.947814814713
360,617.5,1519.5,20.5,257.9698506940035,1862.1131860220844
361,615.5,1522.5,22.1,256.0316109860388,1865.5453160906386
362,617.5,1522.5,27.4,257.91839159683025,1865.545206493181
363,614.5,1524.5,27.4,255.05474512305474,1867.8317324411837
364,610.5,1527.5,25.2,251.23403524417031,1871.2587596056492
365,617.5,1535.5,27.4,257.69587262236,1880.385919166714
366,618.5,1586.5,25.2,257.7657489392459,1938.1205644905226
367,658.5,1620.5,27.4,294.47634867438563,1976.2715414098243
368,657.5,1619.5,26.3,293.5650645397377,1975.1537837750543
369,658.5,1619.5,27.4,294.4980637821734,1975.155962984766
370,657.5,1620.5,27.4,293.5434716332414,1976.26933975713
371,654.5,1618.5,24.3,290.78752682469616,1974.0314668134577
372,613.5,1585.5,27.4,253.10491337945973,1936.9888989449346
373,614.5,1590.5,21.0,253.957976332051,1942.6100663360453
374,613.5,1583.5,27.4,253.137667673062,1934.7389786075153
375,656.5,1621.5,27.4,292.58916748980306,1977.3823806178393
376,654.5,1617.5,23.6,290.80876427173183,1972.9153956274413
377,655.5,1621.5,27.4,291.6564886151994,1977.380156715159
378,655.5,1621.5,27.4,291.6564886151994,1977.380156715159
379,655.5,1621.5,27.4,291.6564886151994,1977.380156715159
380,655.5,1621.5,27.4,291.6564886151994,1977.380156715159
381,654.5,1619.5,25.2,290.7662949211323,1975.1472466787136
382,655.5,1620.5,26.3,291.6778315778065,1976.2649367208517
383,655.5,1616.5,22.7,291.76325916133067,1971.8011445582729
384,653.5,1617.5,23.8,289.8756726749265,1972.9132616870334
385,655.5,1621.5,27.4,291.6564886151994,1977.380156715159
386,655.5,1621.5,27.4,291.6564886151994,1977.380156715159
387,655.5,1621.5,27.4,291.6564886151994,1977.380156715159
388,654.5,1620.5,26.2,290.74506855887023,1976.2627353372573
389,655.5,1621.5,27.4,291.6564886151994,1977.380156715159
390,656.5,1621.5,27.4,292.58916748980306,1977.3823806178393
391,618.5,1583.5,27.4,257.8167175501201,1934.7457836650403
392,653.5,1615.5,21.3,289.9179196608936,1970.6802898575797
393,657.5,1621.5,27.4,293.5218843618736,1977.3846046111216
394,655.5,1623.5,27.4,291.6138193946467,1979.6097238459256
395,656.5,1622.5,27.4,292.56770797871667,1978.4973320391841
396,657.5,1621.5,27.4,293.5218843618736,1977.3846046111216
397,655.5,1620.5,24.9,291.6778315778065,1976.2649367208517
398,654.5,1621.5,25.1,290.72384773574066,1977.3779329030756
399,656.5,1622.5,27.4,292.56770797871667,1978.4973320391841
400,656.5,1619.5,24.6,292.6321033169682,1975.1516046541456
401,656.5,1621.5,26.3,292.58916748980306,1977.3823806178393
402,652.5,1623.5,27.4,288.81674322191475,1979.6029182218983
403,653.5,1624.5,27.4,289.7279817896499,1980.719489249554
404,654.5,1622.5,26.3,290.70263244957584,1978.4928394900976
