vid,start_frame,xi,yi,from_corr,to_corr,mat,startF,DeltaF,DeltaX,DeltaY,cycle_0,cycle_1
IMG_1891,115,569.0,294.0,"[[363.3999938964844, 173.39999389648438], [801.2000122070312, 185.1999969482422], [337.8999938964844, 1644.300048828125], [876.0, 1642.4000244140625]]","[[0.0, 0.0], [500.0, 0.0], [0.0, 2000.0], [500.0, 2000.0]]","[[1.1520271784864018, 0.019971916482638557, -422.1097998267331], [-0.045924832034014734, 1.7038887377580159, -278.7652130466703], [-2.5407371852779162e-05, 0.00015951816063998212, 1.0]]",,,,,,
IMG_1892,120,553.5,271.7,"[[364.79998779296875, 173.89999389648438], [802.7000122070312, 186.5], [340.3999938964844, 1642.5999755859375], [878.9000244140625, 1641.300048828125]]","[[0.0, 0.0], [500.0, 0.0], [0.0, 2000.0], [500.0, 2000.0]]","[[1.1513403712047359, 0.019127594730311354, -423.33524196789534], [-0.04912239643951518, 1.707197474621768, -278.9617807953225], [-2.6234930209196532e-05, 0.00016023993253896161, 1.0]]",157.0,20.0,0.5,168.0,3.0,6.0
IMG_1893,160,614.8,263.6,"[[366.8999938964844, 173.39999389648438], [803.5, 185.5], [340.3999938964844, 1642.5999755859375], [878.9000244140625, 1641.300048828125]]","[[0.0, 0.0], [500.0, 0.0], [0.0, 2000.0], [500.0, 2000.0]]","[[1.1558297234622372, 0.02084773213550408, -427.688915108722], [-0.04746184610021628, 1.7125480863202118, -279.5420766708755], [-2.540508084331127e-05, 0.00016273868714956322, 1.0]]",247.1,21.0,-1.1,168.0,0.0,3.0
IMG_1895,97,572.7,263.2,"[[366.8999938964844, 173.39999389648438], [803.5, 185.5], [340.3999938964844, 1642.5999755859375], [878.9000244140625, 1641.300048828125]]","[[0.0, 0.0], [500.0, 0.0], [0.0, 2000.0], [500.0, 2000.0]]","[[1.1558297234622372, 0.02084773213550408, -427.688915108722], [-0.04746184610021628, 1.7125480863202118, -279.5420766708755], [-2.540508084331127e-05, 0.00016273868714956322, 1.0]]",,,,,,
IMG_1894,115,611.9,280.3,"[[366.8999938964844, 173.39999389648438], [803.5, 185.5], [340.3999938964844, 1642.5999755859375], [878.9000244140625, 1641.300048828125]]","[[0.0, 0.0], [500.0, 0.0], [0.0, 2000.0], [500.0, 2000.0]]","[[1.1558297234622372, 0.02084773213550408, -427.688915108722], [-0.04746184610021628, 1.7125480863202118, -279.5420766708755], [-2.540508084331127e-05, 0.00016273868714956322, 1.0]]",,,,,,
