frame,x,y,xn,yn
208,587.8571428571429,288.0,245.27224031305428,139.18472495535482
209,587.8571428571429,288.2380952380952,245.2758530616951,139.55914218209958
210,588.7916666666667,289.5,246.29778579205333,141.47757322090354
211,588.6818181818182,289.9545454545455,246.18673001016617,142.19972900090832
212,588.7727272727273,290.81818181818187,246.29719877348273,143.5504805713718
219,590.7727272727273,295.0454545454545,248.50480961854154,150.04832704713925
221,591.72,296.91999999999996,249.54758791110012,152.92295136334872
365,575.0952380952381,396.6190476190476,233.43360855175933,307.9053868646405
367,575.0,399.0,233.37318819001885,311.52604152375034
368,574.5652173913044,400.3913043478261,232.93844917429956,313.6651080596383
369,575.0434782608696,401.6086956521739,233.46272008849533,315.48031135960775
370,574.9230769230769,402.7692307692307,233.35539143934992,317.2474457729637
371,575.2,404.03999999999996,233.66830896800784,319.15524657595415
372,575.5454545454545,405.27272727272725,234.05263776018415,321.0002360468663
373,575.52,406.84000000000003,234.05194327483616,323.37496479897123
375,576.1428571428572,408.2380952380952,234.73072072663044,325.45069138795674
376,576.8076923076924,409.11538461538464,235.44478489699907,326.7350572888052
379,577.8,411.28,236.5242087124454,329.9445097712627
380,577.875,411.625,236.60872337633802,330.46121054721
381,577.7916666666667,412.125,236.52920834972042,331.2223254170693
382,578.0,412.80769230769226,236.759391904862,332.24057992437963
383,578.125,413.29166666666663,236.8986961227211,332.9637954649221
384,578.7692307692307,414.3461538461538,237.5931781727558,334.5152653222607
385,578.7083333333333,415.16666666666663,237.54232316877295,335.75826585084394
386,578.6153846153846,416.2307692307693,237.46171607699102,337.3707529669022
387,579.047619047619,418.0,237.94444556911165,340.01284600457205
389,579.8636363636364,420.77272727272725,238.84607826992575,344.14181282309886
391,581.0869565217391,425.0434782608695,240.1980958767223,350.4969364304104
529,561.625,513.125,221.41085445511962,482.45666395096816
530,561.4782608695652,514.0869565217391,221.276683774458,483.8734288260004
531,561.6818181818182,515.7727272727273,221.51813234565424,486.32746171002907
532,561.8518518518518,516.7407407407408,221.71169696903638,487.73291886284323
534,561.7307692307693,519.3076923076923,221.63340002558593,491.49208357142237
535,561.6153846153846,520.3461538461538,221.53308419015133,493.015956210219
536,561.6,521.92,221.54596675157657,495.3150301171296
537,561.7142857142857,523.25,221.68837926774756,497.2494455463518
538,561.9642857142857,524.2142857142857,221.96421908673662,498.6414929773376
539,562.0357142857143,526.0,222.0704737161575,501.24157532709603
540,562.2692307692307,527.0384615384615,222.33047369318962,502.7415417342817
541,562.56,528.08,222.6495535785336,504.2421756298616
542,563.2666666666667,528.8333333333334,223.3926500803749,505.2977087263064
543,562.92,529.84,223.05293208293045,506.7846541899855
544,563.7333333333333,531.0666666666667,223.91436724736488,508.52245575879874
545,564.1481481481482,531.5185185185185,224.35047279925226,509.1556177153576
546,564.3333333333334,532.3,224.55546502070047,510.2820798108509
547,564.7586206896551,532.6896551724138,225.00118366556472,510.8238998444056
548,565.2,533.7,225.47443438519213,512.2677722620837
549,565.3225806451613,534.3548387096774,225.61240638378771,513.2130302036769
550,565.4444444444445,535.3333333333334,225.7553534554447,514.6286865817143
551,565.6428571428571,536.1428571428571,225.97421887904753,515.7939110751804
552,565.8275862068965,536.8620689655172,226.1772870897288,516.8282987383351
553,566.3103448275862,537.7241379310345,226.6901496423773,518.0524673879944
554,566.7241379310345,539.5172413793103,227.1478987137057,520.6326110930935
555,566.8214285714286,541.2142857142857,227.27762662321595,523.0906734832489
556,567.5714285714286,543.1428571428571,228.08371643722901,525.8448850602468
557,567.304347826087,545.1739130434783,227.84360326609905,528.805782144923
558,568.5217391304348,547.5217391304348,229.13744850358054,532.1367098655703
559,568.7692307692307,550.0,229.43439107271817,535.7110221667976
680,548.5833333333334,630.4583333333334,210.27224741332373,651.8725815701547
681,548.4347826086956,633.304347826087,210.17742111868125,655.8964755476082
682,548.8695652173913,634.9565217391304,210.6513086236551,658.2021810924584
683,549.04,636.76,210.85960633887845,660.7344280902738
684,549.3636363636364,638.5909090909091,211.2238117552444,663.2954726917696
685,549.1304347826087,639.7826086956521,211.01051000266318,664.9860912034931
686,549.3913043478261,641.1304347826087,211.30140176401648,666.868652376459
687,549.5416666666666,641.875,211.46841865363,667.9079435573537
688,549.9565217391304,643.2608695652174,211.9159897300139,669.8343756638606
689,549.8888888888889,644.2962962962963,211.8675234075833,671.2938978155044
690,549.9,645.7666666666667,211.90730632448836,673.3597387822458
