vid,start_frame,xi,yi,from_corr,to_corr,mat,startF,DeltaF,DeltaX,DeltaY,cycle_0,cycle_1
IMG_1842,170,588,242,"[[363.1000061035156, 190.39999389648438], [822.0999755859375, 211.5], [283.8999938964844, 1741.800048828125], [858.7999877929688, 1754.199951171875]]","[[0.0, 0.0], [500.0, 0.0], [0.0, 2000.0], [500.0, 2000.0]]","[[1.103709107499711, 0.056345089397873256, -411.48488834710287], [-0.07579638961392636, 1.6488403059690844, -286.4175146613498], [-2.369186741487166e-05, 0.00016576709684084766, 1.0]]",626,152.24285714285716,-10.38571429,175.28571428571428,0,4
IMG_1844,230,636,266,"[[361.8999938964844, 189.39999389648438], [821.4000244140625, 210.10000610351562], [283.8999938964844, 1742.199951171875], [860.0999755859375, 1754.0]]","[[0.0, 0.0], [500.0, 0.0], [0.0, 2000.0], [500.0, 2000.0]]","[[1.1025781620140354, 0.05538453052767716, -409.512859847178], [-0.074309737653772, 1.6495317190230245, -285.5286039116689], [-2.3676992928145742e-05, 0.00016663779673543492, 1.0]]",1064,174,-5,173.25,1,4
IMG_1845,120,588,162,"[[317.29998779296875, 97.0], [788.4000244140625, 112.9000015258789], [269.5, 1747.9000244140625], [841.0999755859375, 1751.0999755859375]]","[[0.0, 0.0], [500.0, 0.0], [0.0, 2000.0], [500.0, 2000.0]]","[[1.0578698230182761, 0.03062945295234975, -338.633138866627], [-0.04989347039296195, 1.478290155571436, -127.56294754379367], [-2.1536685457896557e-05, 0.00013001385510083243, 1.0]]",188,74.25,-47,171,1,4
IMG_1850,120,496,250,"[[266.79998779296875, 123.4000015258789], [731.0, 136.6999969482422], [268.8999938964844, 1730.9000244140625], [839.0999755859375, 1721.5]]","[[0.0, 0.0], [500.0, 0.0], [0.0, 2000.0], [500.0, 2000.0]]","[[1.0730264003088548, -0.001401780378101252, -286.1104508031391], [-0.04433313216824367, 1.5473268854718027, -179.1120609069424], [-3.25172429042428e-05, 0.00014579775758194737, 1.0]]",,,,,,
IMG_1851,100,523,145,"[[282.3999938964844, 101.0], [749.7000122070312, 116.69999694824219], [269.5, 1723.0], [840.7000122070312, 1719.5]]","[[0.0, 0.0], [500.0, 0.0], [0.0, 2000.0], [500.0, 2000.0]]","[[1.063576330512996, 0.008458771992640515, -301.208285216572], [-0.051032793735397396, 1.5189573300942512, -139.0030297001226], [-2.931619040435395e-05, 0.00013935244885912048, 1.0]]",283,45.07142857142857,10,168,1,5
IMG_1852,100,492,190,"[[282.3999938964844, 101.0], [749.7000122070312, 116.69999694824219], [269.5, 1723.0], [840.7000122070312, 1719.5]]","[[0.0, 0.0], [500.0, 0.0], [0.0, 2000.0], [500.0, 2000.0]]","[[1.063576330512996, 0.008458771992640515, -301.208285216572], [-0.051032793735397396, 1.5189573300942512, -139.0030297001226], [-2.931619040435395e-05, 0.00013935244885912048, 1.0]]",220,45.07142857142857,15,168,2,6
IMG_1853,100,527,179,"[[282.3999938964844, 101.0], [749.7000122070312, 116.69999694824219], [269.5, 1723.0], [840.7000122070312, 1719.5]]","[[0.0, 0.0], [500.0, 0.0], [0.0, 2000.0], [500.0, 2000.0]]","[[1.063576330512996, 0.008458771992640515, -301.208285216572], [-0.051032793735397396, 1.5189573300942512, -139.0030297001226], [-2.931619040435395e-05, 0.00013935244885912048, 1.0]]",114,29.5,17,168,3,10
IMG_1854,90,529,161,"[[282.3999938964844, 101.0], [749.7000122070312, 116.69999694824219], [269.5, 1723.0], [840.7000122070312, 1719.5]]","[[0.0, 0.0], [500.0, 0.0], [0.0, 2000.0], [500.0, 2000.0]]","[[1.063576330512996, 0.008458771992640515, -301.208285216572], [-0.051032793735397396, 1.5189573300942512, -139.0030297001226], [-2.931619040435395e-05, 0.00013935244885912048, 1.0]]",188,35.375,6,168,4,7
IMG_1855,90,474,158,"[[282.3999938964844, 101.0], [749.7000122070312, 116.69999694824219], [269.5, 1723.0], [840.7000122070312, 1719.5]]","[[0.0, 0.0], [500.0, 0.0], [0.0, 2000.0], [500.0, 2000.0]]","[[1.063576330512996, 0.008458771992640515, -301.208285216572], [-0.051032793735397396, 1.5189573300942512, -139.0030297001226], [-2.931619040435395e-05, 0.00013935244885912048, 1.0]]",208,33.4,16.6,169,1,6
